Source,Target
ideologias,diz
diz,hino
hino,povo
povo,virtude
virtude,acaba
acaba,escravo
escravo,honrando
honrando,voto
voto,presidente
presidente,filho
filho,voto
voto,Total
Total,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,dado
dado,honra
honra,povo
povo,casa
casa,carregando
carregando,deos
deos,gaúchos
gaúchos,voto
voto,lei
lei,Total
Total,darcísio
darcísio,direitos
direitos,crianças
crianças,jovens
jovens,mulheres
mulheres,brasileiros
brasileiros,governo
governo,decente
decente,esperança
esperança,brasileiros
brasileiros,cáo
cáo,voto
voto,cherini
cherini,gente
gente,bom
bom,coração
coração,eleitores
eleitores,corrupção
corrupção,presidente
presidente,voto
voto,cherini
cherini,voto
voto,Total
Total,Eitor
Eitor,chu
chu,retomada
retomada,crescimento
crescimento,econômico
econômico,social
social,voto
voto,escuta
escuta,Eitor
Eitor,chu
chu,voto
voto,Total
Total,conspiração
conspiração,corrupção
corrupção,representadas
representadas,temer
temer,golpe
golpe,defesa
defesa,democracia
democracia,respeito
respeito,voto
voto,cidadão
cidadão,brasileiro
brasileiro,voto
voto,convicção
convicção,golpe
golpe,impeachment
impeachment,votos
votos,Deputado
Deputado,filha
filha,chegar
chegar,vivam
vivam,país
país,futuro
futuro,impit
impit,Jerônimo
Jerônimo,gorde
gorde,voto
voto,Total
Total,rede
rede,consciência
consciência,tranquila
tranquila,voto
voto,rede
rede,voto
voto,tenha
tenha,responsabilidade
responsabilidade,sabedoria
sabedoria,coletiva
coletiva,enfrentar
enfrentar,momentos
momentos,virão
virão,voto
voto,voto
voto,Total
Total,homenagem
homenagem,amigos
amigos,gaúchos
gaúchos,gaúchas
gaúchas,voto
voto,voto
voto,lados
lados,rua
rua,pedem
pedem,ética
ética,política
política,dar
dar,primeiro
primeiro,passo
passo,nome
nome,desempregados
desempregados,indústria
indústria,voto
voto,voto
voto,total
total,gaúchos
gaúchos,representam
representam,combater
combater,projeto
projeto,poder
poder,corrupção
corrupção,agricultores
agricultores,brasileiros
brasileiros,voto
voto,impitma
impitma,voto
voto,Total
Total,buzato
buzato,Presidente
Presidente,momento
momento,reescrever
reescrever,ética
ética,brasileira
brasileira,família
família,gaúchos
gaúchos,voto
voto,trabalhadores
trabalhadores,trabalhadoras
trabalhadoras,3:57:27
3:57:27,democracia
democracia,respeito
respeito,voto
voto,soberano
soberano,povo
povo,brasileiro
brasileiro,elegeu
elegeu,presidenta
presidenta,votos
votos,voto
voto,golpe
golpe,votos
votos,brasileiro
brasileiro,defesa
defesa,pequenos
pequenos,pobre
pobre,trabalhadores
trabalhadores,defesa
defesa,movimentos
movimentos,sociais
sociais,reforma
reforma,agrária
agrária,reforma
reforma,democracia
democracia,lava
lava,jato
jato,esteja
esteja,prisão
prisão,voto
voto,golpe
golpe,voto
voto,Deputado
Deputado,democracia
democracia,soberania
soberania,voto
voto,popular
popular,dignidade
dignidade,humana
humana,lutaram
lutaram,ditadura
ditadura,militar
militar,Deputado
Deputado,caçado
caçado,morto
morto,ditadura
ditadura,novas
novas,gerações
gerações,golpe
golpe,deputada
deputada,votos
votos,povo
povo,dignidade
dignidade,povo
povo,brasileiro
brasileiro,vi
vi,vi
vi,voto
voto,Total
Total,marquezan
marquezan,Música
Música,corresponder
corresponder,Presidente
Presidente,expectativas
expectativas,eleitores
eleitores,brasileiros
brasileiros,expectativas
expectativas,combater
combater,corrupção
corrupção,gente
gente,possa
possa,olhar
olhar,diferente
diferente,separar
separar,legal
legal,ilegal
ilegal,Constituição
Constituição,voto
voto,poderia
poderia,impeach
impeach,presidente
presidente,maril
maril,voto
voto,façanhas
façanhas,modelo
modelo,terra
terra,legitimados
legitimados,povo
povo,brasileiro
brasileiro,dizer
dizer,roubalheira
roubalheira,futuro
futuro,voto
voto,dei
dei,família
família,esposa
esposa,famílias
famílias,brasileiras
brasileiras,crianças
crianças,povo
povo,senhor
senhor,presidente
presidente,voto
voto,Total
Total,reconheço
reconheço,legitimidade
legitimidade,presidir
presidir,processo
processo,reconheço
reconheço,legitimidade
legitimidade,conspirador
conspirador,presidir
presidir,país
país,acredito
acredito,político
político,demagogo
demagogo,fala
fala,combater
combater,corrupção
corrupção,corruptos
corruptos,tem
tem,golpe
golpe,golpistas
golpistas,voto
voto,pimenta
pimenta,Total
Total,votos
votos,varg
varg,acordão
acordão,temer
temer,querem
querem,abafar
abafar,combate
combate,corrupção
corrupção,golpistas
golpistas,prezam
prezam,democracia
democracia,direitos
direitos,trabalhadores
trabalhadores,constituição
constituição,jurei
jurei,cumprir
cumprir,democracia
democracia,legalidade
legalidade,voto
voto,golpe
golpe,votos
votos,presidente
presidente,temer
temer,quero
quero,eleições
eleições,limpas
limpas,honestas
honestas,limpar
limpar,limpar
limpar,alma
alma,nação
nação,brasileira
brasileira,cumpro
cumpro,decisão
decisão,partido
partido,posso
posso,votar
votar,favor
favor,voto
voto,voto
voto,abstenção
abstenção,corrupção
corrupção,Deputado
Deputado,abstenção
abstenção,voto
voto,existe
existe,espaço
espaço,política
política,sério
sério,fala
fala,verdade
verdade,pabal
pabal,rioo
rioo,voto
voto,Total
Total,fundamentos
fundamentos,cristianismo
cristianismo,defesa
defesa,princípios
princípios,administração
administração,pública
pública,ningém
ningém,voto
voto,Total
Total,senhor
senhor,presidente
presidente,respeito
respeito,suor
suor,mão
mão,calejada
calejada,fumicultores
fumicultores,trabalhadores
trabalhadores,indústria
indústria,estado
estado,voto
voto,Feliz
Feliz,aniversário
aniversário,neta
neta,mora
mora,voto
voto,chamar
chamar,peço
peço,parlamentares
parlamentares,posição
posição,primeira
primeira,parlamentar
parlamentar,deputada
deputada,anoto
anoto,convicção
convicção,estado
estado,fim
fim,corrupção
corrupção,espaços
espaços,poder
poder,voto
voto,car
car,anut
anut,vota
vota,Total
Total,voto
voto,voto
voto,Total
Total,senhor
senhor,presidente
presidente,votei
votei,impit
impit,país
país,clamando
clamando,mudança
mudança,nome
nome,segunda
segunda,vez
vez,4:05:30
4:05:30,plenário
plenário,voto
voto,voto
voto,Total
Total,trabalhadores
trabalhadores,cidade
cidade,lutaram
lutaram,democracia
democracia,tombaram
tombaram,luta
luta,assassinado
assassinado,ditadura
ditadura,golpe
golpe,voto
voto,Deputado
Deputado,dcio
dcio,votos
votos,honrar
honrar,maioria
maioria,vontade
vontade,povo
povo,dar
dar,chance
chance,voto
voto,voto
voto,Total
Total,senhor
senhor,presidente
presidente,honra
honra,família
família,cidade
cidade,lição
lição,povo
povo,brasileiro
brasileiro,voto
voto,Total
Total,Senor
Senor,Presidente
Presidente,esperança
esperança,futuro
futuro,brava
brava,gente
gente,blum
blum,voto
voto,senhor
senhor,presidente
presidente,família
família,guerreira
guerreira,estado
estado,quebrar
quebrar,dorsal
dorsal,quadrilha
quadrilha,volto
volto,simor
simor,princípios
princípios,ensinei
ensinei,filhas
filhas,ética
ética,honestidade
honestidade,quero
quero,ensine
ensine,princípios
princípios,netos
netos,povo
povo,ruas
ruas,protestar
protestar,corrupção
corrupção,voto
voto,voto
voto,Total
Total,filhos
filhos,privilégio
privilégio,entender
entender,corrupção
corrupção,combina
combina,democracia
democracia,voto
voto,voto
voto,Total
Total,tealde
tealde,nome
nome,neto
neto,nasceu
nasceu,dias
dias,famílias
famílias,voto
voto,Música
Música,traduzir
traduzir,sentimento
sentimento,majoritário
majoritário,povo
povo,gente
gente,esperança
esperança,momento
momento,inaugure
inaugure,novo
novo,tempo
tempo,política
política,brasileira
brasileira,voto
voto,voto
voto,Total
Total,melhor
melhor,presidente
presidente,país
país,mulher
mulher,honesta
honesta,democracia
democracia,golpistas
golpistas,voto
voto,deputado
deputado,votos
votos,peninha
peninha,cidade
cidade,adotou
adotou,nasci
nasci,mudança
mudança,estatuto
estatuto,agricultores
agricultores,fim
fim,corrupção
corrupção,voto
voto,peninha
peninha,volto
volto,Total
Total,votos
votos,cidade
cidade,maioria
maioria,povo
povo,estado
estado,esperança
esperança,voto
voto,voto
voto,Total
Total,brasileiros
brasileiros,enganados
enganados,ess
ess,governo
governo,cherê
cherê,produzem
produzem,trabalham
trabalham,agricultores
agricultores,alimentam
alimentam,dias
dias,agricultor
agricultor,planta
planta,amoa
amoa,senhor
senhor,presidente
presidente,voto
voto,Total
Total,chamar
chamar,estado
estado,sequência
sequência,peço
peço,posicione
posicione,primeiro
primeiro,parlamentar
parlamentar,Presidente
Presidente,Presidente
Presidente,caráter
caráter,valor
valor,homem
homem,faz
faz,ouro
ouro,prata
prata,faz
faz,posição
posição,estado
estado,voto
voto,partido
partido,progressista
progressista,voto
voto,Total
Total,votos
votos,cab
cab,Presidente
Presidente,querido
querido,estado
estado,família
família,amigos
amigos,eleitores
eleitores,votaram
votaram,forma
forma,espontânea
espontânea,povo
povo,maravilhoso
maravilhoso,estado
estado,harmonia
harmonia,voto
voto,subor
subor,voto
voto,Total
Total,defesa
defesa,voto
voto,popular
popular,regras
regras,democráticas
democráticas,voto
voto,impit
impit,existe
existe,crime
crime,deputada
deputada,voto
voto,Total
Total,votos
votos,arújo
arújo,democracia
democracia,votos
votos,válidos
válidos,voto
voto,senhores
senhores,deputada
deputada,Jose
Jose,arjo
arjo,voto
voto,votos
votos,reeg
reeg,senhor
senhor,presidente
presidente,paramentares
paramentares,momento
momento,histórico
histórico,passado
passado,limpo
limpo,considerando
considerando,situação
situação,origem
origem,quero
quero,dizer
dizer,retiveram
retiveram,reais
reais,devidos
devidos,fisco
fisco,queremos
queremos,consertar
consertar,precisamos
precisamos,final
final,propond
propond,voto
voto,passar
passar,limpo
limpo,voto
voto,impit
impit,voto
voto,Total
Total,professora
professora,marivânia
marivânia,acho
acho,vi
vi,hipocrisia
hipocrisia,junta
junta,quadrado
quadrado,dizer
dizer,votara
votara,corrupção
corrupção,colocando
colocando,hipocrisia
hipocrisia,enar
enar,democra
democra,golpe
golpe,estado
estado,institucional
institucional,feito
feito,casa
casa,voto
voto,consciência
consciência,deputada
deputada,professora
professora,4:15:44
4:15:44,programa
programa,desenvolvimento
desenvolvimento,voto
voto,senhor
senhor,presidente
presidente,Deputado
Deputado,votos
votos,novas
novas,eleições
eleições,trocar
trocar,resolve
resolve,abstenho
abstenho,abstenção
abstenção,Total
Total,passamos
passamos,parlamentar
parlamentar,senhor
senhor,presidente
presidente,trabalhadores
trabalhadores,brasileiros
brasileiros,filhos
filhos,constituição
constituição,brasileira
brasileira,contrail
contrail,voto
voto,Pará
Pará,voto
voto,Total
Total,votos
votos,Faro
Faro,senhor
senhor,presidente
presidente,defesa
defesa,democracia
democracia,defesa
defesa,Constituição
Constituição,povo
povo,pobre
pobre,teve
teve,governo
governo,presidenta
presidenta,investimentos
investimentos,voto
voto,senhor
senhor,presidente
presidente,Deputado
Deputado,Faro
Faro,votos
votos,presidente
presidente,sabem
sabem,lealdade
lealdade,posição
posição,contrária
contrária,impeach
impeach,respeito
respeito,posição
posição,partido
partido,Beto
Beto,salame
salame,Pará
Pará,abstenção
abstenção,Total
Total,delegado
delegado,delado
delado,delegado
delegado,senhor
senhor,presidente
presidente,nome
nome,filho
filho,anos
anos,esposa
esposa,formamos
formamos,bandidos
bandidos,querem
querem,destruir
destruir,proposta
proposta,criança
criança,troque
troque,sexo
sexo,sexo
sexo,escolas
escolas,anos
anos,idade
idade,povo
povo,Estado
Estado,voto
voto,delegado
delegado,voto
voto,pessol
pessol,presidente
presidente,rotundo
rotundo,moral
moral,partido
partido,pessoal
pessoal,faz
faz,oposição
oposição,oposição
oposição,esquerda
esquerda,programática
programática,socialista
socialista,governo
governo,con
con,golpe
golpe,democracia
democracia,dool
dool,Total
Total,votos
votos,barbal
barbal,respeito
respeito,voto
voto,deputada
deputada,votos
votos,chapadinha
chapadinha,voto
voto,Total
Total,proteção
proteção,respeito
respeito,família
família,respeito
respeito,amigos
amigos,respeito
respeito,amada
amada,estado
estado,leite
leite,voto
voto,passarinho
passarinho,pedindo
pedindo,bênçãos
bênçãos,família
família,honra
honra,filhas
filhas,corrupção
corrupção,voto
voto,Total
Total,senhor
senhor,presidente
presidente,sentimento
sentimento,majoritário
majoritário,brasileiro
brasileiro,acompanha
acompanha,sessão
sessão,histórica
histórica,realiza
realiza,sentimento
sentimento,4:20:36
4:20:36,acompanhar
acompanhar,opinião
opinião,estado
estado,par
par,voto
voto,simb
simb,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,família
família,família
família,quadrangular
quadrangular,evangélica
evangélica,voto
voto,fiz
fiz,continue
continue,abençoando
abençoando,povo
povo,brasileiro
brasileiro,voto
voto,Total
Total,senhor
senhor,presidente
presidente,respeito
respeito,família
família,povo
povo,brasileiro
brasileiro,querido
querido,consideração
consideração,respeito
respeito,nação
nação,evangélica
evangélica,voto
voto,voto
voto,Total
Total,senhor
senhor,presidente
presidente,penso
penso,acusações
acusações,feita
feita,eivadas
eivadas,falhas
falhas,vício
vício,penso
penso,processo
processo,impit
impit,processo
processo,equivocado
equivocado,voto
voto,deputado
deputado,senhor
senhor,presidente
presidente,respeito
respeito,mulher
mulher,filhos
filhos,netos
netos,povo
povo,querido
querido,Estado
Estado,futuro
futuro,melhor
melhor,voto
voto,voto
voto,Total
Total,defesa
defesa,considerar
considerar,presidente
presidente,cometeu
cometeu,crime
crime,diferente
diferente,denunciados
denunciados,cometer
cometer,envergonham
envergonham,casa
casa,história
história,povo
povo,digo
digo,deputada
deputada,vladimira
vladimira,solidariedade
solidariedade,Presidente
Presidente,colega
colega,citar
citar,nome
nome,falou
falou,caos
caos,presidente
presidente,mudar
mudar,comprei
comprei,passagem
passagem,volta
volta,sai
sai,caçar
caçar,nome
nome,4:23:38
4:23:38,mãe
mãe,eeste
eeste,querida
querida,nordeste
nordeste,metropolitana
metropolitana,encaminhamos
encaminhamos,nome
nome,mãezinha
mãezinha,filhos
filhos,amigos
amigos,solidariedade
solidariedade,povo
povo,querido
querido,vota
vota,votamos
votamos,vota
vota,coloca
coloca,mão
mão,cima
cima,coloca
coloca,mão
mão,solidariedade
solidariedade,voto
voto,Total
Total,povo
povo,brasileiro
brasileiro,povo
povo,coração
coração,aguentar
aguentar,hipocrisia
hipocrisia,democracia
democracia,desenvolvimento
desenvolvimento,fascistas
fascistas,golpistas
golpistas,oportunista
oportunista,picareta
picareta,golpe
golpe,moderno
moderno,querem
querem,fazer
fazer,atingir
atingir,presidenta
presidenta,vota
vota,favor
favor,bando
bando,covardes
covardes,total
total,votos
votos,chamar
chamar,emida
emida,parlamentar
parlamentar,Deputado
Deputado,membro
membro,mesa
mesa,pode
pode,proferir
proferir,voto
voto,mesa
mesa,desejar
desejar,futuro
futuro,encontro
encontro,futuro
futuro,constrói
constrói,dolor
dolor,schider
schider,senhor
senhor,presidente
presidente,pares
pares,voto
voto,relator
relator,jovair
jovair,voto
voto,reconstrução
reconstrução,voto
voto,voto
voto,Total
Total,votos
votos,Alfredo
Alfredo,caffer
caffer,psl
psl,democracia
democracia,futuro
futuro,malhor
malhor,futuro
futuro,melhor
melhor,honra
honra,povo
povo,pessoas
pessoas,querem
querem,tirar
tirar,oligarquia
oligarquia,instalada
instalada,poder
poder,voto
voto,simel
simel,impeach
impeach,voto
voto,Total
Total,aliel
aliel,rede
rede,acredito
acredito,única
única,forma
forma,termos
termos,legitimidade
legitimidade,partir
partir,crise
crise,nova
nova,elei
elei,presidencial
presidencial,defendo
defendo,ait
ait,acusado
acusado,ladrão
ladrão,voto
voto,Deputado
Deputado,votos
votos,doto
doto,constituição
constituição,cumpri-la
cumpri-la,casa
casa,cidadania
cidadania,pobres
pobres,país
país,voto
voto,Total
Total,votos
votos,cabe
cabe,tarea
tarea,país
país,leis
leis,pedaladas
pedaladas,condenam
condenam,devem
devem,condenar
condenar,governadores
governadores,estado
estado,Richa
Richa,hora
hora,chegando
chegando,voto
voto,iared
iared,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,eleito
eleito,paranaenses
paranaenses,acreditam
acreditam,resgate
resgate,moralidade
moralidade,política
política,eleito
eleito,projeto
projeto,política
política,estado
estado,família
família,filha
filha,esposa
esposa,povo
povo,orgulho
orgulho,dizer
dizer,jato
jato,voto
voto,Total
Total,votos
votos,espera
espera,fico
fico,família
família,querida
querida,agricultores
agricultores,fazendo
fazendo,país
país,possa
possa,andar
andar,voto
voto,espera
espera,fico
fico,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,respeito
respeito,habitantes
habitantes,país
país,lutaram
lutaram,morreram
morreram,democracia
democracia,momento
momento,querem
querem,transformar
transformar,casa
casa,colégio
colégio,eleitoral
eleitoral,aplicando
aplicando,Constituição
Constituição,respeito
respeito,trabalhadores
trabalhadores,voto
voto,deputado
deputado,verre
verre,Total
Total,romá
romá,estado
estado,maltratado
maltratado,governo
governo,querida
querida,C
C,Azul
Azul,região
região,oeste
oeste,Estado
Estado,voto
voto,totos
totos,solidariedade
solidariedade,Presidente
Presidente,delegado
delegado,polícia
polícia,federal
federal,voto
voto,fim
fim,facção
facção,criminosa
criminosa,lulo
lulo,petista
petista,fim
fim,pelgag
pelgag,viva
viva,lava-jato
lava-jato,república
república,bandeira
bandeira,vermelha
vermelha,Presidente
Presidente,voto
voto,Total
Total,votos
votos,jacobo
jacobo,senhor
senhor,presidente
presidente,voto
voto,parano
parano,senhor
senhor,presidente
presidente,sinto
sinto,cheiro
cheiro,mesmas
mesmas,aves
aves,rapina
rapina,levaram
levaram,suicídio
suicídio,força
força,voto
voto,oeste
oeste,eleitores
eleitores,eleitores
eleitores,povo
povo,voto
voto,anel
anel,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,processo
processo,jurídico
jurídico,político
político,pesou
pesou,vontade
vontade,paranaenses
paranaenses,partido
partido,admissibilidade
admissibilidade,continua
continua,Senado
Senado,julgado
julgado,par
par,voto
voto,Total
Total,dia
dia,reencontrar
reencontrar,esperança
esperança,brasileiros
brasileiros,queremos
queremos,voto
voto,votos
votos,povo
povo,pede
pede,voto
voto,continuemos
continuemos,ouvir
ouvir,voz
voz,ruas
ruas,voto
voto,voto
voto,Total
Total,votos
votos,dosb
dosb,Curitibanos
Curitibanos,país
país,justo
justo,decente
decente,desistir
desistir,emach
emach,viva
viva,voto
voto,Total
Total,votos
votos,povo
povo,brasileiro
brasileiro,amor
amor,país
país,paranaenses
paranaenses,base
base,eleitoral
eleitoral,sabendo
sabendo,governo
governo,tem
tem,maioria
maioria,mundo
mundo,tem
tem,maioria
maioria,tem
tem,governar
governar,troca-se
troca-se,governo
governo,tem
tem,maioria
maioria,crimes
crimes,responsabilidade
responsabilidade,cometido
cometido,presidente
presidente,vota
vota,voto
voto,voto
voto,votos
votos,deputado
deputado,municipalista
municipalista,agronegócio
agronegócio,nome
nome,desenvolvimento
desenvolvimento,voto
voto,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,brasileiro
brasileiro,defendo
defendo,eleições
eleições,Gerais
Gerais,renovação
renovação,política
política,eleições
eleições,Gerais
Gerais,preferência
preferência,população
população,mande
mande,volta
volta,casa
casa,exceção
exceção,velhas
velhas,raposas
raposas,políticas
políticas,voto
voto,votos
votos,meure
meure,senhor
senhor,presidente
presidente,família
família,querido
querido,município
município,querido
querido,eleitores
eleitores,estado
estado,voto
voto,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,estado
estado,voto
voto,nson
nson,voto
voto,Total
Total,votos
votos,Osmar
Osmar,serraglio
serraglio,senhor
senhor,presidente
presidente,país
país,sonhamos
sonhamos,queremos
queremos,país
país,petrolão
petrolão,queremos
queremos,querido
querido,querida
querida,umarama
umarama,voto
voto,simmar
simmar,Serral
Serral,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,nome
nome,deputados
deputados,valdiro
valdiro,povo
povo,ruas
ruas,verde
verde,amarelo
amarelo,livre
livre,4:37:04
4:37:04,voto
voto,T
T,voto
voto,total
total,votos
votos,senhor
senhor,presidente
presidente,partido
partido,progressista
progressista,fechou
fechou,questão
questão,relação
relação,impeach
impeach,progressistas
progressistas,família
família,borgu
borgu,representam
representam,maring
maring,voto
voto,voto
voto,total
total,votos
votos,senhor
senhor,presidente
presidente,primeiro
primeiro,homenagem
homenagem,bancada
bancada,votando
votando,impit
impit,puderam
puderam,votar
votar,suplência
suplência,deputado
deputado,jug
jug,Presidente
Presidente,deixar
deixar,homenagem
homenagem,disse
disse,votando
votando,nome
nome,acolheu
acolheu,recebeu
recebeu,repito
repito,acolheu
acolheu,continuo
continuo,grato
grato,senhor
senhor,presidente
presidente,temos
temos,compromisso
compromisso,maior
maior,fazer
fazer,operação
operação,lava
lava,jato
jato,juiz
juiz,possa
possa,contribuir
contribuir,voto
voto,voto
voto,votos
votos,constitui
constitui,brasileira
brasileira,representando
representando,cidade
cidade,região
região,estado
estado,voto
voto,paran
paran,presidente
presidente,nome
nome,povo
povo,brasileiro
brasileiro,voto
voto,votos
votos,tacama
tacama,ladroeira
ladroeira,imposição
imposição,esquerda
esquerda,transformar
transformar,ditadura
ditadura,esquerda
esquerda,voto
voto,Evangélicos
Evangélicos,famí
famí,certeza
certeza,mandando
mandando,votar
votar,pedindo
pedindo,mandaria
mandaria,votar
votar,cidade
cidade,estado
estado,família
família,querido
querido,voto
voto,pró
pró,voto
voto,Total
Total,votos
votos,homenagem
homenagem,jovens
jovens,década
década,lutaram
lutaram,ditadura
ditadura,homenagem
homenagem,jovens
jovens,há
há,meses
meses,ruas
ruas,lutando
lutando,golpe
golpe,homenagem
homenagem,sindicalistas
sindicalistas,movimentos
movimentos,sociais
sociais,sabem
sabem,jogo
jogo,governo
governo,figura
figura,presidenta
presidenta,democracia
democracia,voto
voto,deputado
deputado,deu
deu,votos
votos,mato
mato,seguid
seguid,Amazonas
Amazonas,deputado
deputado,senhor
senhor,presidente
presidente,constitucional
constitucional,necessário
necessário,país
país,precisa
precisa,novo
novo,rumo
rumo,família
família,voto
voto,voto
voto,votos
votos,homenagem
homenagem,grande
grande,brasileiro
brasileiro,brola
brola,história
história,p
p,legala
legala,democracia
democracia,euo
euo,presente
presente,Total
Total,votos
votos,senhor
senhor,presidente
presidente,pequena
pequena,curta
curta,Estrada
Estrada,política
política,segunda
segunda,vez
vez,deparo
deparo,situação
situação,segunda
segunda,vez
vez,votar
votar,gestor
gestor,cometeu
cometeu,improbidade
improbidade,administrativa
administrativa,vez
vez,voto
voto,Grosso
Grosso,voto
voto,tchau
tchau,querida
querida,dioniso
dioniso,voto
voto,Total
Total,votos
votos,respeito
respeito,querido
querido,povo
povo,respeito
respeito,povo
povo,respeito
respeito,povo
povo,brasileiro
brasileiro,nome
nome,família
família,voto
voto,senhor
senhor,presidente
presidente,voto
voto,Total
Total,votos
votos,temos
temos,país
país,construir
construir,causa
causa,famílias
famílias,causa
causa,morena
morena,linda
linda,voto
voto,voto
voto,votos
votos,ruas
ruas,pedindo
pedindo,momento
momento,agricultores
agricultores,família
família,voto
voto,votou
votou,total
total,senhor
senhor,presidente
presidente,impit
impit,crime
crime,golpe
golpe,presidente
presidente,cometeu
cometeu,crime
crime,democracia
democracia,voto
voto,Total
Total,votos
votos,senhor
senhor,presidente
presidente,casa
casa,Resolveu
Resolveu,tomar
tomar,mandato
mandato,eleito
eleito,microfone
microfone,referiu
referiu,golpistas
golpistas,traidores
traidores,canalhas
canalhas,canalhas
canalhas,canalhas
canalhas,homenagem
homenagem,defesa
defesa,democracia
democracia,Estado
Estado,maises
maises,povos
povos,indígenas
indígenas,quilombolas
quilombolas,reforma
reforma,agrária
agrária,voto
voto,Total
Total,votos
votos,chamar
chamar,Amazonas
Amazonas,seguida
seguida,Presidente
Presidente,sabe
sabe,excelência
excelência,presido
presido,partido
partido,república
república,reunião
reunião,executiva
executiva,partido
partido,realizada
realizada,forma
forma,democrática
democrática,partido
partido,decidiu
decidiu,encaminhar
encaminhar,voto
voto,respeito
respeito,respeito
respeito,colegas
colegas,parlamentares
parlamentares,quero
quero,comunicar
comunicar,casa
casa,renun
renun,mandato
mandato,Presidente
Presidente,Nacional
Nacional,entendo
entendo,voto
voto,forma
forma,diferente
diferente,voto
voto,Presidente
Presidente,entendo
entendo,pertence
pertence,pertence
pertence,pertence
pertence,partido
partido,pertence
pertence,voto
voto,pertence
pertence,povo
povo,botou
botou,vida
vida,pública
pública,há
há,anos
anos,vida
vida,pública
pública,orgulho
orgulho,povo
povo,estado
estado,vota
vota,impo
impo,voto
voto,S
S,presente
presente,alred
alred,votou
votou,Total
Total,votos
votos,senhor
senhor,presidente
presidente,libertação
libertação,brasileiro
brasileiro,responsabilidade
responsabilidade,tenho
tenho,mandato
mandato,Estado
Estado,razão
razão,amor
amor,voto
voto,bisneto
bisneto,vota
vota,votos
votos,Deputado
Deputado,senhor
senhor,presidente
presidente,família
família,estado
estado,melhor
melhor,reencontrar
reencontrar,história
história,voto
voto,votou
votou,Total
Total,votos
votos,deputada
deputada,senhor
senhor,presidente
presidente,gostaria
gostaria,agradecer
agradecer,momento
momento,pedir
pedir,misericórdia
misericórdia,nação
nação,acho
acho,final
final,noite
noite,vencidos
vencidos,vencedores
vencedores,quero
quero,lembrar
lembrar,frase
frase,juiz
juiz,nomeado
nomeado,fazer
fazer,favor
favor,justiça
justiça,julgar
julgar,leis
leis,voto
voto,voto
voto,totalizou
totalizou,votos
votos,Deputado
Deputado,senhor
senhor,presidente
presidente,senhores
senhores,senhores
senhores,deputados
deputados,houve
houve,tentativa
tentativa,estado
estado,cidade
cidade,clara
clara,parte
parte,adversários
adversários,dito
dito,voto
voto,jogar
jogar,povo
povo,deputados
deputados,federais
federais,votados
votados,capital
capital,lado
lado,lado
lado,Povo
Povo,homem
homem,aceito
aceito,pressão
pressão,lados
lados,voto
voto,voto
voto,voto
voto,Amazonas
Amazonas,voto
voto,votos
votos,rota
rota,senhor
senhor,presidente
presidente,voltem
voltem,acreditar
acreditar,país
país,justo
justo,decente
decente,ordeiro
ordeiro,honesto
honesto,democrático
democrático,voto
voto,orgulho
orgulho,senhor
senhor,presidente
presidente,votou
votou,votos
votos,avelin
avelin,nova
nova,chance
chance,reconhecendo
reconhecendo,legitimidade
legitimidade,constitucional
constitucional,movendo
movendo,voto
voto,votou
votou,totalizou
totalizou,votos
votos,senhor
senhor,presidente
presidente,reconstrução
reconstrução,nação
nação,tentaram
tentaram,dividir
dividir,amor
amor,carinho
carinho,povo
povo,família
família,câmara
câmara,votou
votou,totalizou
totalizou,votos
votos,estado
estado,seguida
seguida,parlamentar
parlamentar,neto
neto,senhor
senhor,presidente
presidente,gostaria
gostaria,cumprimentar
cumprimentar,nosos
nosos,companheiros
companheiros,encontram
encontram,assistem
assistem,meios
meios,comunicação
comunicação,país
país,dizer
dizer,votando
votando,impeach
impeach,m
m,presidente
presidente,estaremos
estaremos,votando
votando,pode
pode,ter
ter,certeza
certeza,votarei
votarei,mesma
mesma,forma
forma,voto
voto,respeitando
respeitando,povo
povo,rondoniense
rondoniense,respeitando
respeitando,povo
povo,brasileiro
brasileiro,voto
voto,corrupção
corrupção,venha
venha,partido
partido,Expedito
Expedito,votou
votou,Total
Total,votos
votos,senhor
senhor,presidente
presidente,senhor
senhor,presidente
presidente,homenagem
homenagem,presidente
presidente,4:52:04
4:52:04,partido
partido,homenagem
homenagem,rondia
rondia,voto
voto,votou
votou,Total
Total,votos
votos,região
região,família
família,respeito
respeito,eleitores
eleitores,voto
voto,Senor
Senor,Presidente
Presidente,votou
votou,Total
Total,votos
votos,gostaria
gostaria,domingo
domingo,população
população,brasileira
brasileira,assistindo
assistindo,gostaria
gostaria,votando
votando,projetos
projetos,tirar
tirar,respeito
respeito,família
família,família
família,eleitores
eleitores,estado
estado,rol
rol,cidades
cidades,votar
votar,presidente
presidente,votou
votou,totalizou
